name,postcode
Allpress Espresso,E8 2NG
Andronicas Coffee,EC2A 3HZ
Climpson & Sons,E10 7QE
Colombian Coffee Company,SE1 0AB
London Grade Coffee,EC2A 4RH
Long and Short,E17 7FY
Exmouth Coffee Roasters,E1 7RQ
Gentlemen Baristas,E15 1JB
Hermanos Colombian Coffee Roasters,E17 6DS
Liberty Coffee Co.,SG4 0AP
Nord Coffee Roasters,E11 3PJ
The Roasting Shed,N7 7HE
Nude Coffee Roasters,E1 6QR
Square Mile Coffee Roasters,E17 5QJ
Notes Coffee Roasters,EC4M 7DX
Ozone Coffee Roasters,EC2A 4AQ
Perception Coffee Roasters,E3 3YD
Perky Blenders,E11 3PJ
Plot Roasting,SE18 6RS
Roasting Plant,SE1 9QQ
Saint Espresso,N1 9HJ
Union Coffee Roasters,E16 4TL
Watch House,SE1 3PA
Workshop Coffee,W1U 1AX
80 Stone Coffee Roasters,CR0 4RU
Alchemy Coffee Roasters,SW19 2RL
Assembly Coffee Roasters,SW9 8FR
Brew Coffee Plus,E14 9XQ
Cafédirect,HD9 4EP
Capital Coffee Roasters,SW19 2RR
Carnival Coffee Roasters,SE20 7TN
Elsewhere Coffee Roasters,SE8 5QA
Full Bloom,LU7 1HJ
Lomond Coffee Roasters,SE8 4BX
Mission Coffee Works,E9 5EN
